Employee_ID	BU	Sub-BU	Function	Sub-Group	Types	Gender	Category	Department	Birthday	Joining_date	Resigned_date	Location	Resignation_Type	Resignation_Reason	Position_(EN)	Approval_level	Job Level	Province	Status		
136355	Masan MEATLife	Food Safety	Production	Production Worker	Full-time	Male	Local	Manufacturing	23/04/2002	27/04/2025	15/10/2024	Binh Duong	Voluntary	Low Compensation	L10 - Frontliner	MANAGER009	Worker	Hai Phong	Resigned		
172644	WinCommerce	Store Management	Operations Support	Support Staff	Full-time	Male	Local	EHS	16/04/1997	21/06/2024	20/06/2025	Dong Nai	Voluntary	Personal/Family Reasons	L9 - Staff	MANAGER068	Staff	Thai Binh	Resigned		
133009	Phuc Long Heritage	Customer Engagement	Agriculture	Production Worker	Contractor	Male	Local	Farm Management	08/03/2007	15/10/2025		Binh Duong			L8 - Executive	MANAGER055	Executive	Vinh Phuc	Active		
149252	WinCommerce	Digital Marketing	Production	Production Worker	Full-time	Female	Local	Meat Production	20/11/2004	26/11/2022	28/12/2022	Binh Duong	Voluntary	Heavy Workload/Shift Work	L10 - Frontliner	MANAGER050	Worker	Quang Ninh	Resigned		
159098	WinCommerce	Promotion Management	Commercial	Production Worker	Full-time	Male	Local	Meat Trading	13/11/1997	26/02/2021	15/10/2024	Binh Duong	Voluntary	Heavy Workload/Shift Work	L8 - Executive	MANAGER005	Executive	Quang Ninh	Resigned		
166729	Masan High-Tech Materials	Refining	Commercial	Production Worker	Contractor	Female	Local	Meat Trading	08/03/1997	17/12/2024	01/10/2026	Ha Noi	Involuntary	Policy Violation	L8 - Executive	MANAGER035	Executive	Quang Ninh	Resigned		
105513	WinCommerce	Store Management	Production	Production Worker	Full-time	Female	Local	Meat Production	23/08/2006	19/11/2024	03/11/2025	Ha Noi	Voluntary	Heavy Workload/Shift Work	L8 - Executive	MANAGER081	Executive	Ha Noi	Resigned		
154235	Phuc Long Heritage	Store Operations	Mining	Production Worker	Contractor	Female	Local	Mining Operations	21/06/2001	12/05/2023	17/04/2024	Ha Noi	Voluntary	Low Compensation	L10 - Frontliner	MANAGER063	Worker	Vinh Phuc	Resigned		
188557	Masan High-Tech Materials	Safety Compliance	Support Function	Staff	Full-time	Male	Local	HR	06/11/1998	19/07/2020	15/10/2024	Ho Chi Minh	Voluntary	Personal/Family Reasons	L10 - Frontliner	MANAGER073	Worker	Bac Ninh	Resigned		
170599	Masan MEATLife	Distribution	Mining	Production Worker	Full-time	Male	Local	Mining Operations	14/01/1996	08/11/2022	20/06/2023	Long An	Involuntary	Poor Performance	L7 - Senior Executive	MANAGER061	Senior Specialist	Long An	Resigned		
117886	Masan Group (Corporate)	Compliance	Production	Production Worker	Full-time	Male	Local	Manufacturing	22/08/1999	16/01/2022		Dong Nai			L8 - Executive	MANAGER093	Executive	Can Tho	Active		
163637	Masan Group (Corporate)	Accounting	Commercial	Production Worker	Full-time	Female	Local	Meat Trading	24/05/2007	04/08/2025	28/01/2026	Long An	Voluntary	Better Opportunity	L10 - Frontliner	MANAGER073	Worker	Ho Chi Minh	Resigned		
167946	Masan MEATLife	Meat Processing	Mining	Production Worker	Full-time	Male	Local	Mining Operations	13/02/2006	10/02/2024	18/04/2024	Long An	Voluntary	Personal/Family Reasons	L8 - Executive	MANAGER093	Executive	Nam Dinh	Resigned		
169082	Phuc Long Heritage	Product Innovation	Retail Operations	Production Worker	Full-time	Male	Local	Store Operations	21/10/2001	24/03/2025		Ho Chi Minh			L9 - Staff	MANAGER019	Staff	Ho Chi Minh	Active		
155057	Masan Group (Corporate)	Accounting	Commercial	Production Worker	Full-time	Female	Local	Meat Trading	24/08/1995	02/02/2023		Dong Nai			L6 - Supervisor	MANAGER050	Supervisor	Binh Duong	Active		
184437	Masan Group (Corporate)	FP&A	Mining	Production Worker	Full-time	Female	Local	Mining Operations	15/09/2000	26/06/2025	15/10/2024	Binh Duong	Voluntary	Better Opportunity	L6 - Supervisor	MANAGER059	Supervisor	Hai Duong	Resigned		
149587	WinCommerce	Fresh Food Merchandising	Production	Production Worker	Full-time	Male	Local	Meat Production	22/01/1991	05/06/2025		Dong Nai			L7 - Senior Executive	MANAGER069	Senior Specialist	Binh Duong	Active		
142829	Masan MEATLife	Meat Processing	Agriculture	Production Worker	Full-time	Female	Local	Farm Management	27/05/2005	06/07/2023		Ha Noi			L10 - Frontliner	MANAGER079	Worker	Ha Noi	Active		
147975	WinCommerce	Promotion Management	Production	Production Worker	Contractor	Male	Local	Meat Production	16/04/1992	14/01/2022	15/10/2024	Binh Duong	Involuntary	Policy Violation	L6 - Supervisor	MANAGER004	Supervisor	Quang Ninh	Resigned		
158835	Phuc Long Heritage	Brand Marketing	Mining	Production Worker	Contractor	Male	Local	Mining Operations	06/12/1998	19/03/2023	06/11/2023	Binh Duong	Voluntary	Low Compensation	L9 - Staff	MANAGER011	Staff	Quang Ninh	Resigned		